"tid","loc_name","loc_type","loc_type_code","loc_number","address_raw","neighborhood","city","state","longitude","latitude","source_url","store_code","create_time","update_time","searched_text","product_offering","RunID","RunDate","InsertUpdateTime","city_code","market","country","hours_of_operation","phone"
272191,"大润发一楼店内肯德基甜品站","","J","","霍林河大街和和平路交汇处大润发内一层KF","","通辽","","122.267783","43.623514","kfc.com.cn","SHY475_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-21:30",""
272192,"摩尔城一楼甜品站","","J","","科尔沁区阿古拉大街与胜利路交会处维多利摩","","通辽","","122.238544","43.6517","kfc.com.cn","SY1221_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-22:00",""
272193,"万达广场一号门肯德基甜品站","","J","","西拉木伦大街以北、平安路以东万达广场","","通辽","","122.281902","43.629751","kfc.com.cn","SY1071_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-22:00",""
272194,"维多利广场一楼","","H","","和平路与新兴大街交汇处","科尔沁区","通辽","","122.267313","43.61904","kfc.com.cn","SHY167","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","05:00-04:59",""
272195,"大润发一楼肯德基","","H","","霍林河大街和和平路交汇处大润发内一层KF","科尔沁区","通辽","","122.267783","43.623514","kfc.com.cn","SHY475","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","07:00-22:00",""
272196,"大润发一楼店内肯德基甜品站","","J","","霍林河大街和和平路交汇处大润发内一层KF","科尔沁区","通辽","","122.267782999999994","43.6235140000000001","kfc.com.cn","SHY475_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-21:30",""
272197,"欧亚一楼肯德基","","H","","红光大街与民主南路交汇处欧亚购物中心地上","科尔沁区","通辽","","122.263566","43.595061","kfc.com.cn","SY1068","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","07:00-22:00",""
272198,"万达一号门肯德基","","H","","西拉木伦大街以北、平安路以东万达广场","科尔沁区","通辽","","122.281902","43.629751","kfc.com.cn","SY1071","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","06:00-23:00",""
272199,"万达广场一号门肯德基甜品站","","J","","西拉木伦大街以北、平安路以东万达广场","科尔沁区","通辽","","122.281902000000002","43.6297509999999988","kfc.com.cn","SY1071_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-22:00",""
272200,"新天地一楼肯德基","","H","","扎鲁特旗泰山街中段北侧号谦顺新天地广场","扎鲁特旗","通辽","","120.905801","44.557272","kfc.com.cn","SY1166","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","07:00-21:00",""
272201,"百货大楼一层肯德基","","H","","科尔沁区明仁大街与和平路交汇处通辽百货大","科尔沁区","通辽","","122.266981","43.614905","kfc.com.cn","SY1188","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","07:00-19:00",""
272202,"摩尔城肯德基","","H","","科尔沁区阿古拉大街与胜利路交会处维多利摩","科尔沁区","通辽","","122.238544","43.6517","kfc.com.cn","SY1221","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","06:00-23:00",""
272203,"摩尔城一楼甜品站","","J","","科尔沁区阿古拉大街与胜利路交会处维多利摩","科尔沁区","通辽","","122.238544000000005","43.6516999999999982","kfc.com.cn","SY1221_J1","","","通辽","",46281,"2022-05-03 08:30:09","2022-05-03 08:34:02","00415","辽吉","CHN","10:00-22:00",""
272204,"大润发一楼肯德基甜品站","","J","","龙湾大街与文萃路交汇处东北角","","葫芦岛","","120.869751","40.733572","kfc.com.cn","SHY468_J1","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","09:00-22:00",""
272205,"百货东区肯德基","","H","","兴工街1号","连山区","葫芦岛","","120.856072","40.757189","kfc.com.cn","SHY067","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","05:00-04:59",""
272206,"兰花","","H","","兰花广场一楼","连山区","葫芦岛","","120.85598","40.756065","kfc.com.cn","SHY291","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","06:00-23:00",""
272207,"大润发肯德基","","H","","龙湾大街与文萃路交汇处东北角","龙港区","葫芦岛","","120.869751","40.733572","kfc.com.cn","SHY468","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","05:00-04:59",""
272208,"大润发一楼肯德基甜品站","","J","","龙湾大街与文萃路交汇处东北角","龙港区","葫芦岛","","120.869750999999994","40.7335720000000023","kfc.com.cn","SHY468_J1","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","09:00-22:00",""
272209,"飞天广场肯德基","","H","","龙港区龙湾大街43号飞天广场一楼","龙港区","葫芦岛","","120.849059","40.72248","kfc.com.cn","SHY499","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","06:00-23:00",""
272210,"兴城银象宁远城肯德基","","H","","星海南路与果园路交汇处银象宁远城地上一层","兴城市","葫芦岛","","120.729251","40.614552","kfc.com.cn","SY1050","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","06:00-22:00",""
272211,"兴城服务区（南）京沈方向店","","H","","市辖区京哈高速公路沿线兴城服务区南侧一层","兴城市","葫芦岛","","120.640149","40.597989","kfc.com.cn","SY1204","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","09:30-18:00",""
272212,"兴城服务区（北）沈京方向店","","H","","市辖区京哈高速公路沿线兴城服务区北侧一层","兴城市","葫芦岛","","120.637586","40.598882","kfc.com.cn","SY1205","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","09:30-18:00",""
272213,"风华里餐厅","","H","","绥中县绥中镇西水风华里小区S1#1层8门","绥中县","葫芦岛","","120.307155","40.323215","kfc.com.cn","SY1853","","","葫芦岛","",46281,"2022-05-03 08:30:09","2022-05-03 08:38:25","00559","辽吉","CHN","06:00-23:00",""
272214,"肯德基中兴餐厅甜品站","","J","","商东小区88-18-19","","盘锦","","122.070171","41.125429","kfc.com.cn","SHY074_J1","","","盘锦","",46281,"2022-05-03 08:30:09","2022-05-03 08:42:50","00553","辽吉","CHN","10:00-20:00",""
272215,"盘新店（步行街新玛特负一层）","","H","","兴隆台区中兴路大商城市广场新玛特地下一层","兴隆台区","盘锦","","122.070747","41.124892","kfc.com.cn","HQC001","","","盘锦","",46281,"2022-05-03 08:30:09","2022-05-03 08:42:50","00553","辽吉","CHN","10:00-19:00",""
272216,"中兴餐厅（步行街海湾商场旁）","","H","","商东小区88-18-19","兴隆台区","盘锦","","122.070171","41.125429","kfc.com.cn","SHY074","","","盘锦","",46281,"2022-05-03 08:30:09","2022-05-03 08:42:50","00553","辽吉","CHN","06:00-23:00",""
272217,"肯德基中兴餐厅甜品站","","J","","商东小区88-18-19","兴隆台区","盘锦","","122.070171000000002","41.1254289999999969","kfc.com.cn","SHY074_J1","","","盘锦","",46281,"2022-05-03 08:30:09","2022-05-03 08:42:50","00553","辽吉","CHN","10:00-20:00",""
272218,"林丰（油田新玛特）","","H","","林丰路东兴隆台街北","兴隆台区","盘锦","","122.087622","41.131733","kfc.com.cn","SHY104","","","盘锦","",46281,"2022-05-03 08:30:09","2022-05-03 08:42:50","00553","辽吉","CHN","05:00-04:59",""
